dateObserved,windSpeed,windDirection,u,v,std
2021-07-01 01:00:00+00:00,2.5034509499999995,213.2,-1.3707976720374864,-2.0947984154549353,1.2614986470408867
2021-07-01 02:00:00+00:00,2.8304275999999997,226.21666666666667,-2.0434598515397226,-1.9584668069658502,1.2614986470408867
2021-07-01 03:00:00+00:00,2.74769495,217.25,-1.6631632342108218,-2.187170682554268,1.2614986470408867
2021-07-01 04:00:00+00:00,2.9508801355932217,221.83050847457628,-1.9680284876306147,-2.198762708095857,1.2614986470408867
2021-07-01 05:00:00+00:00,2.684431750000002,229.1,-2.029037050981258,-1.757607028363665,1.2614986470408867
2021-07-01 06:00:00+00:00,2.1880858999999995,220.53333333333333,-1.4220158559268465,-1.6630065577956827,1.2614986470408867
2021-07-01 07:00:00+00:00,2.547969152542374,237.135593220339,-2.1401848636527365,-1.3826624865451513,1.2614986470408867
2021-07-01 08:00:00+00:00,2.729676949999999,239.91666666666663,-2.361982006060433,-1.3682752845856825,1.2614986470408867
2021-07-01 09:00:00+00:00,3.66981615,243.0,-3.2698301322218377,-1.66606166789076,1.2614986470408867
2021-07-01 10:00:00+00:00,4.1257216,268.4833333333333,-4.124276228181432,-0.10919850898298651,1.2614986470408867
2021-07-01 11:00:00+00:00,3.431928499999999,261.8666666666667,-3.3974085060872974,-0.4855395677778684,1.2614986470408867
2021-07-01 12:00:00+00:00,3.254701449999998,235.2,-2.672595521633817,-1.8575022762771933,1.2614986470408867
2021-07-01 13:00:00+00:00,3.993939101694917,257.22033898305085,-3.8950009972042423,-0.8834686071533937,1.2614986470408867
2021-07-01 14:00:00+00:00,3.779657237288136,249.98305084745763,-3.551333449391223,-1.293769516807234,1.2614986470408867
2021-07-01 15:00:00+00:00,4.4478934500000005,272.45,-4.443827658459171,0.19013648904453592,1.2614986470408867
2021-07-01 16:00:00+00:00,3.319366050000002,283.4833333333333,-3.227876971793668,0.7739516967206381,1.2614986470408867
2021-07-01 17:00:00+00:00,2.8411382999999986,263.0,-2.8199608859457665,-0.34624765914421585,1.2614986470408867
2021-07-01 18:00:00+00:00,1.8037019000000003,243.5,-1.6141948083968594,-0.8048078432820083,1.2614986470408867
2021-07-01 19:00:00+00:00,1.9553033500000003,218.91666666666663,-1.2283008633482289,-1.5213442015596665,1.2614986470408867
2021-07-01 20:00:00+00:00,2.28303075,224.95,-1.6129371273572117,-1.6157546932125026,1.2614986470408867
2021-07-01 21:00:00+00:00,1.5936768305084756,180.5084745762712,-0.014142987864422188,-1.5936140737310924,1.2614986470408867
2021-07-01 22:00:00+00:00,1.68651533898305,125.57627118644068,1.3717133796521046,-0.9811913130009424,1.2614986470408867
2021-07-01 23:00:00+00:00,1.5127612499999996,133.125,1.1041100869444687,-1.0341119452984957,1.2614986470408867
2021-07-02 00:00:00+00:00,2.081879800000001,132.86666666666667,1.5258904868192946,-1.416291539155135,1.2614986470408867
2021-07-02 01:00:00+00:00,1.86150965,122.45,1.5708535462339652,-0.9988179580520654,1.2614986470408867
2021-07-02 02:00:00+00:00,1.8615096500000008,125.5,1.515483893635041,-1.0809841558394375,1.2614986470408867
2021-07-02 03:00:00+00:00,2.5797271499999987,143.16666666666666,1.5465189361911604,-2.0647690787226733,1.2614986470408867
2021-07-02 04:00:00+00:00,2.5163137999999994,144.45,1.463018019205934,-2.0472941692754323,1.2614986470408867
2021-07-02 05:00:00+00:00,2.294191900000001,133.65,1.6600079264989296,-1.5835688043108005,1.2614986470408867
2021-07-02 06:00:00+00:00,2.3699676000000003,172.01666666666668,0.3291530396429489,-2.346999084265601,1.2614986470408867
2021-07-02 07:00:00+00:00,2.0087066999999994,198.15,-0.6257237728533389,-1.90876199844587,1.2614986470408867
2021-07-02 08:00:00+00:00,2.9003890169491533,229.64406779661016,-2.210202496684825,-1.8781004694337953,1.2614986470408867
2021-07-02 09:00:00+00:00,3.108755649999998,302.21666666666664,-2.6301257946920984,1.6573472766750392,1.2614986470408867
2021-07-02 10:00:00+00:00,2.904301400000001,303.3,-2.427436489752174,1.5945277389439199,1.2614986470408867
2021-07-02 11:00:00+00:00,3.4585551000000008,303.06666666666666,-2.898394664276678,1.8870378241647674,1.2614986470408867
2021-07-02 12:00:00+00:00,2.70585315,302.9166666666667,-2.2714604261091567,1.4704110996537432,1.2614986470408867
2021-07-02 13:00:00+00:00,2.5058033000000006,276.4833333333333,-2.489778044206196,0.2829407515358339,1.2614986470408867
2021-07-02 14:00:00+00:00,2.733881149999998,292.03333333333336,-2.5342142190206443,1.0256044239563795,1.2614986470408867
2021-07-02 15:00:00+00:00,2.419450932203389,287.96610169491527,-2.301476510471812,0.74628994706236,1.2614986470408867
2021-07-02 16:00:00+00:00,2.70675405,265.95,-2.699994734086064,-0.19116988020847905,1.2614986470408867
2021-07-02 17:00:00+00:00,2.8987458500000014,247.2333333333333,-2.6729000474695908,-1.1217543577491869,1.2614986470408867
2021-07-02 18:00:00+00:00,2.7074047,231.6,-2.1217753497232277,-1.6816984197200653,1.2614986470408867
2021-07-02 19:00:00+00:00,2.0574554000000003,201.51666666666668,-0.7546167412796029,-1.9140732213710407,1.2614986470408867
2021-07-02 20:00:00+00:00,2.5327302000000014,128.43333333333334,1.9839685005479848,-1.5743542342260295,1.2614986470408867
2021-07-02 21:00:00+00:00,2.732529799999998,123.68333333333334,2.2737803587970165,-1.5154675805958169,1.2614986470408867
2021-07-02 22:00:00+00:00,2.94789495,122.01666666666668,2.4995021843093923,-1.5628734647654876,1.2614986470408867
