,dateObserved,windSpeed,windDirection,u,v,std
26,2021-07-02 00:00:00+00:00,0.35,148.5,0.1828744976505821,-0.29842405752393225,0.5567985847299017
27,2021-07-02 01:00:00+00:00,0.8,161.5,0.2538437251240737,-0.7586589241649595,0.5567985847299017
28,2021-07-02 02:00:00+00:00,1.15,156.0,0.46774713953717045,-1.050577276288991,0.5567985847299017
29,2021-07-02 03:00:00+00:00,0.75,140.0,0.4820907072649046,-0.5745333323392334,0.5567985847299017
30,2021-07-02 04:00:00+00:00,1.1,148.0,0.5829111906565254,-0.9328529057720686,0.5567985847299017
31,2021-07-02 05:00:00+00:00,1.25,151.5,0.5964484503245108,-1.0985213908274565,0.5567985847299017
32,2021-07-02 06:00:00+00:00,1.0,159.5,0.35020738125946754,-0.9366721892483976,0.5567985847299017
33,2021-07-02 07:00:00+00:00,2.4000000000000004,285.5,-2.3127130877006956,0.6413721025878163,0.5567985847299017
34,2021-07-02 08:00:00+00:00,2.6500000000000004,302.5,-2.2349873314041475,1.4238439621190835,0.5567985847299017
35,2021-07-02 09:00:00+00:00,2.55,299.0,-2.2302802532054598,1.236264531628158,0.5567985847299017
36,2021-07-02 10:00:00+00:00,2.25,303.0,-1.8870087778772047,1.22543782878381,0.5567985847299017
37,2021-07-02 11:00:00+00:00,1.9,299.0,-1.6617774435648525,0.9211382784680393,0.5567985847299017
38,2021-07-02 12:00:00+00:00,2.1,282.0,-2.054109961540992,0.436614550717293,0.5567985847299017
39,2021-07-02 13:00:00+00:00,1.8,293.5,-1.6507081338932232,0.7177483240654433,0.5567985847299017
40,2021-07-02 14:00:00+00:00,2.3,292.0,-2.132522865503611,0.8615951648565975,0.5567985847299017
41,2021-07-02 15:00:00+00:00,1.75,273.0,-1.7476016858205041,0.0915879234251519,0.5567985847299017
42,2021-07-02 16:00:00+00:00,1.4,285.5,-1.349082634492072,0.3741337265095594,0.5567985847299017
43,2021-07-02 17:00:00+00:00,0.9,185.0,-0.07844016847289215,-0.896575228282571,0.5567985847299017
44,2021-07-02 18:00:00+00:00,0.9,164.5,0.2405145384704313,-0.8672674078877607,0.5567985847299017
45,2021-07-02 19:00:00+00:00,0.8,163.0,0.23389736377818965,-0.7650438047704284,0.5567985847299017
46,2021-07-02 20:00:00+00:00,0.75,161.5,0.23797849230381912,-0.7112427414046495,0.5567985847299017
47,2021-07-02 21:00:00+00:00,0.8,162.0,0.24721359549995803,-0.7608452130361228,0.5567985847299017
48,2021-07-02 22:00:00+00:00,0.95,152.5,0.4386611825732822,-0.8426602915193105,0.5567985847299017
49,2021-07-02 23:00:00+00:00,1.0,162.0,0.3090169943749475,-0.9510565162951535,0.5567985847299017
50,2021-07-03 00:00:00+00:00,0.95,163.5,0.26981457746872645,-0.9108787481247833,0.5567985847299017
51,2021-07-03 01:00:00+00:00,1.2,160.5,0.4005682310805254,-1.1311697893106138,0.5567985847299017
52,2021-07-03 02:00:00+00:00,0.6,173.0,0.07312160604308852,-0.5955276909847932,0.5567985847299017
53,2021-07-03 03:00:00+00:00,0.6499999999999999,164.0,0.17916428128104975,-0.624820102359907,0.5567985847299017
54,2021-07-03 04:00:00+00:00,0.55,154.5,0.2367811032445623,-0.4964219063924234,0.5567985847299017
55,2021-07-03 05:00:00+00:00,0.55,178.0,0.019194723186375384,-0.5496649548605027,0.5567985847299017
56,2021-07-03 06:00:00+00:00,0.55,201.5,-0.20157567469836332,-0.5117296623901136,0.5567985847299017
57,2021-07-03 07:00:00+00:00,1.3,155.0,0.5494037402629094,-1.1782001231476449,0.5567985847299017
58,2021-07-03 08:00:00+00:00,1.2000000000000002,151.0,0.5817715442956047,-1.0495436485672751,0.5567985847299017
59,2021-07-03 09:00:00+00:00,1.05,201.0,-0.37628634702256547,-0.9802594478220619,0.5567985847299017
60,2021-07-03 10:00:00+00:00,0.95,194.0,-0.22982580081968412,-0.9217809399621966,0.5567985847299017
61,2021-07-03 11:00:00+00:00,1.1,240.5,-0.9573912655338896,-0.541665916113814,0.5567985847299017
62,2021-07-03 12:00:00+00:00,1.2999999999999998,348.0,-0.2702851980630878,1.271591880953947,0.5567985847299017
63,2021-07-03 13:00:00+00:00,1.1,217.5,-0.6696375719095927,-0.8726886743203588,0.5567985847299017
64,2021-07-03 14:00:00+00:00,1.4,292.5,-1.2934313455158013,0.535756805311126,0.5567985847299017
65,2021-07-03 15:00:00+00:00,1.15,281.0,-1.1288712609648137,0.21943034468302586,0.5567985847299017
66,2021-07-03 16:00:00+00:00,1.15,282.5,-1.1227404081879233,0.2489055560288178,0.5567985847299017
67,2021-07-03 17:00:00+00:00,0.7,187.5,-0.09136833455403592,-0.6940114029616673,0.5567985847299017
68,2021-07-03 18:00:00+00:00,0.7,129.0,0.5440021730198796,-0.44052427373488606,0.5567985847299017
69,2021-07-03 19:00:00+00:00,1.45,158.5,0.5314267787502308,-1.3491054735739356,0.5567985847299017
70,2021-07-03 20:00:00+00:00,1.6,157.0,0.6251698055828387,-1.4728077655239042,0.5567985847299017
71,2021-07-03 21:00:00+00:00,1.9,156.0,0.7727996218440207,-1.7357363695209413,0.5567985847299017
72,2021-07-03 22:00:00+00:00,1.05,141.5,0.6536403684695007,-0.8217385646950347,0.5567985847299017
73,2021-07-03 23:00:00+00:00,1.55,151.5,0.7395960784023934,-1.3621665246260461,0.5567985847299017
74,2021-07-04 00:00:00+00:00,1.1,142.5,0.6696375719095925,-0.8726886743203589,0.5567985847299017
75,2021-07-04 01:00:00+00:00,1.2999999999999998,148.5,0.6792481341307335,-1.1084322136603197,0.5567985847299017
