date,Time,NO2 (µg/m³),Globalstrahlung (W/m²),Temperatur (°C),Windgeschwindigkeit (m/s),Windrichtung (°),hour,uhrzeit
03-01 00:00-00,2020-03-01 00:00:00,16.74,6.2,2.9200000000000004,1.22,182.0,00:00:00,0
03-01 00:30-00,2020-03-01 00:30:00,16.18,6.2,2.8200000000000003,1.48,185.2,00:30:00,0
03-01 01:00-00,2020-03-01 01:00:00,14.739999999999998,6.2,2.82,1.1800000000000002,183.2,01:00:00,1
03-01 01:30-00,2020-03-01 01:30:00,15.05,6.2,2.84,1.2,207.8,01:30:00,1
03-01 02:00-00,2020-03-01 02:00:00,12.76,6.0,2.8000000000000003,1.56,196.8,02:00:00,2
03-01 02:30-00,2020-03-01 02:30:00,11.5,6.0,2.8400000000000003,1.34,186.0,02:30:00,2
03-01 03:00-00,2020-03-01 03:00:00,11.84,6.2,2.9,1.5399999999999998,181.0,03:00:00,3
03-01 03:30-00,2020-03-01 03:30:00,10.92,6.0,2.9,1.2799999999999998,192.6,03:30:00,3
03-01 04:00-00,2020-03-01 04:00:00,11.16,6.0,3.1,1.4400000000000002,222.0,04:00:00,4
03-01 04:30-00,2020-03-01 04:30:00,11.32,6.2,3.16,1.58,217.8,04:30:00,4
03-01 05:00-00,2020-03-01 05:00:00,10.8,6.0,3.0799999999999996,1.58,222.4,05:00:00,5
03-01 05:30-00,2020-03-01 05:30:00,11.779999999999998,6.0,2.8400000000000003,1.4600000000000002,217.4,05:30:00,5
03-01 06:00-00,2020-03-01 06:00:00,15.080000000000002,6.0,2.6799999999999997,1.5,207.0,06:00:00,6
03-01 06:30-00,2020-03-01 06:30:00,21.18,6.0,2.54,1.32,198.8,06:30:00,6
03-01 07:00-00,2020-03-01 07:00:00,25.200000000000003,6.2,2.52,1.14,136.6,07:00:00,7
03-01 07:30-00,2020-03-01 07:30:00,31.139999999999997,10.2,2.5,1.3,196.4,07:30:00,7
03-01 08:00-00,2020-03-01 08:00:00,39.96,21.6,2.6,1.3,214.8,08:00:00,8
03-01 08:30-00,2020-03-01 08:30:00,36.4,43.4,2.62,1.2000000000000002,161.8,08:30:00,8
03-01 09:00-00,2020-03-01 09:00:00,31.28,84.2,2.96,1.48,140.4,09:00:00,9
03-01 09:30-00,2020-03-01 09:30:00,29.54,114.4,3.2,1.26,189.6,09:30:00,9
03-01 10:00-00,2020-03-01 10:00:00,30.4,160.2,3.5200000000000005,1.44,189.8,10:00:00,10
03-01 10:30-00,2020-03-01 10:30:00,28.139999999999997,200.2,3.9599999999999995,1.4000000000000001,185.2,10:30:00,10
03-01 11:00-00,2020-03-01 11:00:00,23.78,237.0,4.5200000000000005,1.44,176.2,11:00:00,11
03-01 11:30-00,2020-03-01 11:30:00,22.82,247.2,4.96,1.3,187.6,11:30:00,11
03-01 12:00-00,2020-03-01 12:00:00,23.26,285.8,5.42,1.4999999999999998,190.4,12:00:00,12
03-01 12:30-00,2020-03-01 12:30:00,21.7,289.8,5.9799999999999995,1.7,194.6,12:30:00,12
03-01 13:00-00,2020-03-01 13:00:00,21.9,237.8,6.34,1.8800000000000001,188.6,13:00:00,13
03-01 13:30-00,2020-03-01 13:30:00,23.78,219.4,6.76,1.7200000000000002,198.6,13:30:00,13
03-01 14:00-00,2020-03-01 14:00:00,24.119999999999997,206.0,6.859999999999999,2.04,209.0,14:00:00,14
03-01 14:30-00,2020-03-01 14:30:00,24.2,240.8,7.0200000000000005,1.6599999999999997,172.6,14:30:00,14
03-01 15:00-00,2020-03-01 15:00:00,23.28,195.0,7.380000000000001,1.6599999999999997,174.2,15:00:00,15
03-01 15:30-00,2020-03-01 15:30:00,24.52,167.4,7.4,1.6199999999999999,158.2,15:30:00,15
03-01 16:00-00,2020-03-01 16:00:00,24.96,151.0,7.419999999999999,1.8399999999999999,188.8,16:00:00,16
03-01 16:30-00,2020-03-01 16:30:00,29.320000000000004,97.0,7.459999999999999,1.5399999999999998,195.4,16:30:00,16
03-01 17:00-00,2020-03-01 17:00:00,26.479999999999997,50.6,7.38,1.54,211.4,17:00:00,17
03-01 17:30-00,2020-03-01 17:30:00,24.72,27.6,7.140000000000001,1.6800000000000002,204.2,17:30:00,17
03-01 18:00-00,2020-03-01 18:00:00,28.839999999999996,14.8,6.880000000000001,1.2600000000000002,205.8,18:00:00,18
03-01 18:30-00,2020-03-01 18:30:00,33.88,6.6,6.68,1.08,199.2,18:30:00,18
03-01 19:00-00,2020-03-01 19:00:00,33.38,6.0,6.459999999999999,1.2399999999999998,196.2,19:00:00,19
03-01 19:30-00,2020-03-01 19:30:00,32.760000000000005,6.0,6.18,1.4,190.0,19:30:00,19
03-01 20:00-00,2020-03-01 20:00:00,27.880000000000003,6.0,5.9399999999999995,1.8399999999999999,182.4,20:00:00,20
03-01 20:30-00,2020-03-01 20:30:00,24.8,6.0,5.7,1.8800000000000001,175.4,20:30:00,20
03-01 21:00-00,2020-03-01 21:00:00,24.28,6.2,5.62,2.0000000000000004,172.0,21:00:00,21
03-01 21:30-00,2020-03-01 21:30:00,23.68,6.2,5.6,1.8799999999999997,177.2,21:30:00,21
03-01 22:00-00,2020-03-01 22:00:00,22.339999999999996,6.2,5.5,1.7399999999999998,173.8,22:00:00,22
03-01 22:30-00,2020-03-01 22:30:00,21.3,6.2,5.4,1.8800000000000001,164.2,22:30:00,22
03-01 23:00-00,2020-03-01 23:00:00,20.18,6.2,5.4,2.0799999999999996,173.2,23:00:00,23
03-01 23:30-00,2020-03-01 23:30:00,17.140000000000004,6.2,5.22,2.12,181.0,23:30:00,23
03-02 00:00-00,2020-03-02 00:00:00,13.059999999999999,6.2,5.180000000000001,2.12,186.0,00:00:00,0
03-02 00:30-00,2020-03-02 00:30:00,12.56,6.2,5.18,1.8599999999999999,184.6,00:30:00,0
03-02 01:00-00,2020-03-02 01:00:00,12.1,6.2,5.2,1.54,188.2,01:00:00,1
03-02 01:30-00,2020-03-02 01:30:00,11.280000000000001,6.2,5.12,1.4600000000000002,187.0,01:30:00,1
03-02 02:00-00,2020-03-02 02:00:00,11.02,6.2,5.08,1.02,183.6,02:00:00,2
03-02 02:30-00,2020-03-02 02:30:00,11.025,6.2,5.18,1.3799999999999997,187.8,02:30:00,2
03-02 03:00-00,2020-03-02 03:00:00,9.86,6.2,5.18,1.4600000000000002,183.6,03:00:00,3
03-02 03:30-00,2020-03-02 03:30:00,12.4,6.2,5.3,1.44,205.8,03:30:00,3
03-02 04:00-00,2020-03-02 04:00:00,9.58,6.2,5.359999999999999,1.44,160.2,04:00:00,4
03-02 04:30-00,2020-03-02 04:30:00,11.36,6.0,5.28,1.6599999999999997,181.0,04:30:00,4
03-02 05:00-00,2020-03-02 05:00:00,12.8,6.0,5.24,1.2200000000000002,179.6,05:00:00,5
03-02 05:30-00,2020-03-02 05:30:00,13.62,6.0,5.26,1.16,195.4,05:30:00,5
03-02 06:00-00,2020-03-02 06:00:00,14.74,6.0,5.28,1.5999999999999999,206.0,06:00:00,6
03-02 06:30-00,2020-03-02 06:30:00,19.56,6.0,5.220000000000001,1.4600000000000002,205.4,06:30:00,6
03-02 07:00-00,2020-03-02 07:00:00,29.76,6.2,5.139999999999999,0.9800000000000001,205.8,07:00:00,7
03-02 07:30-00,2020-03-02 07:30:00,33.0,9.2,5.08,1.3399999999999999,179.4,07:30:00,7
03-02 08:00-00,2020-03-02 08:00:00,38.379999999999995,20.8,5.0,1.2599999999999998,195.8,08:00:00,8
03-02 08:30-00,2020-03-02 08:30:00,36.0,36.0,5.18,1.8,224.0,08:30:00,8
03-02 09:00-00,2020-03-02 09:00:00,35.49999999999999,66.0,5.22,1.56,209.4,09:00:00,9
03-02 09:30-00,2020-03-02 09:30:00,29.0,90.4,5.4,2.22,205.6,09:30:00,9
03-02 10:00-00,2020-03-02 10:00:00,30.32,145.6,5.54,2.38,207.6,10:00:00,10
03-02 10:30-00,2020-03-02 10:30:00,31.2,173.4,5.840000000000001,2.58,206.6,10:30:00,10
03-02 11:00-00,2020-03-02 11:00:00,31.619999999999997,171.6,6.04,2.04,213.0,11:00:00,11
03-02 11:30-00,2020-03-02 11:30:00,30.24,229.4,6.459999999999999,2.24,209.0,11:30:00,11
03-02 12:00-00,2020-03-02 12:00:00,27.160000000000004,213.2,6.660000000000001,2.18,215.0,12:00:00,12
03-02 12:30-00,2020-03-02 12:30:00,26.6,222.0,6.840000000000001,2.0599999999999996,209.0,12:30:00,12
03-02 13:00-00,2020-03-02 13:00:00,24.66,278.8,7.340000000000001,2.36,212.6,13:00:00,13
03-02 13:30-00,2020-03-02 13:30:00,27.160000000000004,256.6,7.659999999999999,2.12,226.8,13:30:00,13
03-02 14:00-00,2020-03-02 14:00:00,27.779999999999994,197.8,7.8,2.3,225.2,14:00:00,14
03-02 14:30-00,2020-03-02 14:30:00,28.879999999999995,234.6,8.08,1.8199999999999998,224.2,14:30:00,14
03-02 15:00-00,2020-03-02 15:00:00,32.339999999999996,196.8,8.26,1.7599999999999998,223.6,15:00:00,15
03-02 15:30-00,2020-03-02 15:30:00,29.48,154.6,8.18,2.0,217.8,15:30:00,15
03-02 16:00-00,2020-03-02 16:00:00,31.939999999999998,153.0,8.24,1.72,215.2,16:00:00,16
03-02 16:30-00,2020-03-02 16:30:00,28.880000000000003,102.4,8.16,1.86,208.8,16:30:00,16
03-02 17:00-00,2020-03-02 17:00:00,23.560000000000002,55.2,7.82,1.92,198.8,17:00:00,17
03-02 17:30-00,2020-03-02 17:30:00,24.54,36.8,7.280000000000001,2.6,209.0,17:30:00,17
03-02 18:00-00,2020-03-02 18:00:00,30.060000000000002,24.0,6.580000000000001,1.7399999999999998,218.4,18:00:00,18
03-02 18:30-00,2020-03-02 18:30:00,30.82,8.6,6.359999999999999,1.58,208.2,18:30:00,18
03-02 19:00-00,2020-03-02 19:00:00,32.62,6.0,6.160000000000001,1.3400000000000003,205.6,19:00:00,19
03-02 19:30-00,2020-03-02 19:30:00,32.94,6.0,5.779999999999999,1.3199999999999998,191.0,19:30:00,19
03-02 20:00-00,2020-03-02 20:00:00,33.16,6.2,5.4,1.2,194.2,20:00:00,20
03-02 20:30-00,2020-03-02 20:30:00,30.4,6.0,5.220000000000001,1.1400000000000001,168.6,20:30:00,20
03-02 21:00-00,2020-03-02 21:00:00,26.02,6.0,5.039999999999999,1.28,161.2,21:00:00,21
03-02 21:30-00,2020-03-02 21:30:00,24.98,6.2,4.880000000000001,1.0,160.0,21:30:00,21
03-02 22:00-00,2020-03-02 22:00:00,25.240000000000002,6.0,4.7,1.1800000000000002,169.2,22:00:00,22
03-02 22:30-00,2020-03-02 22:30:00,22.96,6.2,4.6,1.48,164.8,22:30:00,22
03-02 23:00-00,2020-03-02 23:00:00,23.499999999999996,6.0,4.56,1.2999999999999998,167.8,23:00:00,23
03-02 23:30-00,2020-03-02 23:30:00,21.26,6.0,4.3,0.9800000000000001,201.0,23:30:00,23
03-03 00:00-00,2020-03-03 00:00:00,20.58,6.0,4.2,0.86,219.4,00:00:00,0
03-03 00:30-00,2020-03-03 00:30:00,19.8,6.2,4.08,1.1800000000000002,195.0,00:30:00,0
03-03 01:00-00,2020-03-03 01:00:00,18.259999999999998,6.2,3.9799999999999995,1.32,191.6,01:00:00,1
03-03 01:30-00,2020-03-03 01:30:00,18.48,6.2,3.9200000000000004,1.3400000000000003,192.4,01:30:00,1
03-03 02:00-00,2020-03-03 02:00:00,17.88,6.2,3.9599999999999995,1.1199999999999999,196.2,02:00:00,2
03-03 02:30-00,2020-03-03 02:30:00,16.32,6.2,3.9200000000000004,1.42,191.8,02:30:00,2
03-03 03:00-00,2020-03-03 03:00:00,16.32,6.2,3.8199999999999994,1.34,189.8,03:00:00,3
03-03 03:30-00,2020-03-03 03:30:00,16.04,6.2,3.7199999999999998,1.3599999999999999,190.4,03:30:00,3
03-03 04:00-00,2020-03-03 04:00:00,15.76,6.2,3.7399999999999993,1.28,188.2,04:00:00,4
03-03 04:30-00,2020-03-03 04:30:00,11.5,6.2,3.78,1.44,189.6,04:30:00,4
03-03 05:00-00,2020-03-03 05:00:00,19.859999999999996,6.0,3.6799999999999997,1.4,190.8,05:00:00,5
03-03 05:30-00,2020-03-03 05:30:00,21.279999999999998,6.0,3.7199999999999998,1.36,198.8,05:30:00,5
03-03 06:00-00,2020-03-03 06:00:00,25.72,6.2,3.8200000000000003,1.48,188.6,06:00:00,6
03-03 06:30-00,2020-03-03 06:30:00,30.02,6.2,3.84,1.4,184.6,06:30:00,6
03-03 07:00-00,2020-03-03 07:00:00,34.72,6.6,3.8,1.4599999999999997,183.8,07:00:00,7
03-03 07:30-00,2020-03-03 07:30:00,35.1,13.2,3.9,1.54,186.0,07:30:00,7
03-03 08:00-00,2020-03-03 08:00:00,36.44,35.6,4.0200000000000005,1.48,181.6,08:00:00,8
03-03 08:30-00,2020-03-03 08:30:00,32.480000000000004,77.4,4.4399999999999995,1.8200000000000003,182.0,08:30:00,8
03-03 09:00-00,2020-03-03 09:00:00,31.020000000000003,118.8,4.88,2.02,182.4,09:00:00,9
03-03 09:30-00,2020-03-03 09:30:00,30.660000000000004,142.8,5.279999999999999,1.8399999999999999,188.0,09:30:00,9
03-03 10:00-00,2020-03-03 10:00:00,24.880000000000003,194.0,5.76,1.8800000000000001,192.2,10:00:00,10
03-03 10:30-00,2020-03-03 10:30:00,21.92,224.8,6.220000000000001,1.7,137.4,10:30:00,10
03-03 11:00-00,2020-03-03 11:00:00,20.599999999999998,288.6,6.779999999999999,1.78,187.8,11:00:00,11
03-03 11:30-00,2020-03-03 11:30:00,21.48,317.2,7.24,1.7,189.0,11:30:00,11
03-03 12:00-00,2020-03-03 12:00:00,24.72,334.6,7.76,1.5,191.8,12:00:00,12
03-03 12:30-00,2020-03-03 12:30:00,21.72,340.4,7.959999999999999,1.8,190.6,12:30:00,12
03-03 13:00-00,2020-03-03 13:00:00,21.74,313.8,8.040000000000001,1.72,194.6,13:00:00,13
03-03 13:30-00,2020-03-03 13:30:00,21.5,306.8,8.42,1.78,196.2,13:30:00,13
03-03 14:00-00,2020-03-03 14:00:00,24.78,214.8,8.559999999999999,1.6400000000000001,195.2,14:00:00,14
03-03 14:30-00,2020-03-03 14:30:00,25.18,178.0,8.72,1.34,191.2,14:30:00,14
03-03 15:00-00,2020-03-03 15:00:00,25.580000000000002,221.0,8.940000000000001,1.64,211.0,15:00:00,15
03-03 15:30-00,2020-03-03 15:30:00,24.080000000000002,230.2,9.2,1.64,223.8,15:30:00,15
03-03 16:00-00,2020-03-03 16:00:00,22.240000000000002,182.4,9.320000000000002,1.6800000000000002,166.0,16:00:00,16
03-03 16:30-00,2020-03-03 16:30:00,26.119999999999997,105.2,9.28,1.9200000000000004,159.2,16:30:00,16
03-03 17:00-00,2020-03-03 17:00:00,29.0,69.4,9.2,1.9,220.2,17:00:00,17
03-03 17:30-00,2020-03-03 17:30:00,32.72,41.6,9.0,1.8599999999999999,213.0,17:30:00,17
03-03 18:00-00,2020-03-03 18:00:00,34.019999999999996,21.2,8.879999999999999,1.5,214.2,18:00:00,18
03-03 18:30-00,2020-03-03 18:30:00,38.08,8.6,8.66,1.4200000000000002,191.8,18:30:00,18
03-03 19:00-00,2020-03-03 19:00:00,33.440000000000005,6.0,8.440000000000001,1.52,184.6,19:00:00,19
03-03 19:30-00,2020-03-03 19:30:00,33.14,6.0,8.18,1.3599999999999999,180.4,19:30:00,19
03-03 20:00-00,2020-03-03 20:00:00,29.54,6.2,8.120000000000001,1.0399999999999998,135.6,20:00:00,20
03-03 20:30-00,2020-03-03 20:30:00,30.999999999999993,6.2,8.1,0.9400000000000001,135.4,20:30:00,20
03-03 21:00-00,2020-03-03 21:00:00,30.579999999999995,6.0,8.26,1.02,187.0,21:00:00,21
03-03 21:30-00,2020-03-03 21:30:00,25.859999999999996,6.0,8.22,1.2,203.8,21:30:00,21
03-03 22:00-00,2020-03-03 22:00:00,23.4,6.0,7.42,1.48,154.0,22:00:00,22
03-03 22:30-00,2020-03-03 22:30:00,26.919999999999998,6.0,7.139999999999999,1.2000000000000002,167.6,22:30:00,22
03-03 23:00-00,2020-03-03 23:00:00,45.5,5.8,6.58,1.3199999999999998,270.0,23:00:00,23
03-03 23:30-00,2020-03-03 23:30:00,45.62,6.0,6.1,0.8800000000000001,229.8,23:30:00,23
03-04 00:00-00,2020-03-04 00:00:00,39.580000000000005,6.0,5.94,0.6599999999999999,238.8,00:00:00,0
03-04 00:30-00,2020-03-04 00:30:00,37.459999999999994,6.0,5.58,0.5599999999999999,184.4,00:30:00,0
03-04 01:00-00,2020-03-04 01:00:00,38.660000000000004,6.0,5.540000000000001,0.58,118.6,01:00:00,1
03-04 01:30-00,2020-03-04 01:30:00,33.6,6.0,5.839999999999999,0.64,141.4,01:30:00,1
03-04 02:00-00,2020-03-04 02:00:00,27.7,6.0,6.040000000000001,0.8800000000000001,165.6,02:00:00,2
03-04 02:30-00,2020-03-04 02:30:00,35.575,6.2,5.840000000000001,0.8800000000000001,196.8,02:30:00,2
03-04 03:00-00,2020-03-04 03:00:00,29.4,6.0,5.9,1.02,164.2,03:00:00,3
03-04 03:30-00,2020-03-04 03:30:00,26.05,6.2,5.66,1.22,158.8,03:30:00,3
03-04 04:00-00,2020-03-04 04:00:00,24.979999999999997,6.0,5.46,1.1400000000000001,155.6,04:00:00,4
03-04 04:30-00,2020-03-04 04:30:00,24.360000000000003,6.2,5.08,1.0,145.0,04:30:00,4
03-04 05:00-00,2020-03-04 05:00:00,25.559999999999995,6.0,4.96,1.04,156.8,05:00:00,5
03-04 05:30-00,2020-03-04 05:30:00,29.24,6.0,4.859999999999999,0.9,138.0,05:30:00,5
03-04 06:00-00,2020-03-04 06:00:00,32.64,6.2,4.8,0.9,165.2,06:00:00,6
03-04 06:30-00,2020-03-04 06:30:00,34.36,6.2,4.76,0.9,155.0,06:30:00,6
03-04 07:00-00,2020-03-04 07:00:00,37.32000000000001,6.8,4.58,0.8,198.8,07:00:00,7
03-04 07:30-00,2020-03-04 07:30:00,42.94,15.6,4.4,0.8,184.0,07:30:00,7
03-04 08:00-00,2020-03-04 08:00:00,40.96,53.2,4.86,1.04,187.6,08:00:00,8
03-04 08:30-00,2020-03-04 08:30:00,40.2,127.2,5.619999999999999,1.2799999999999998,194.6,08:30:00,8
03-04 09:00-00,2020-03-04 09:00:00,35.14,142.4,6.32,1.6400000000000001,245.4,09:00:00,9
03-04 09:30-00,2020-03-04 09:30:00,30.160000000000004,213.0,6.619999999999999,2.04,244.6,09:30:00,9
03-04 10:00-00,2020-03-04 10:00:00,30.220000000000006,278.2,7.139999999999999,2.34,233.2,10:00:00,10
03-04 10:30-00,2020-03-04 10:30:00,31.02,266.0,7.12,2.4,244.0,10:30:00,10
03-04 11:00-00,2020-03-04 11:00:00,30.68,280.2,7.4399999999999995,2.4400000000000004,238.2,11:00:00,11
03-04 11:30-00,2020-03-04 11:30:00,28.199999999999996,342.0,8.22,2.3,241.0,11:30:00,11
03-04 12:00-00,2020-03-04 12:00:00,33.0,293.4,8.52,2.42,243.4,12:00:00,12
03-04 12:30-00,2020-03-04 12:30:00,30.6,368.6,8.940000000000001,2.56,249.6,12:30:00,12
03-04 13:00-00,2020-03-04 13:00:00,29.860000000000003,311.8,9.219999999999999,2.48,243.0,13:00:00,13
03-04 13:30-00,2020-03-04 13:30:00,30.079999999999995,348.4,9.7,2.5,242.8,13:30:00,13
03-04 14:00-00,2020-03-04 14:00:00,29.339999999999996,264.2,10.52,2.1599999999999997,230.0,14:00:00,14
03-04 14:30-00,2020-03-04 14:30:00,31.46,197.2,10.959999999999999,1.6199999999999999,182.4,14:30:00,14
03-04 15:00-00,2020-03-04 15:00:00,26.54,190.0,11.22,2.2600000000000002,198.4,15:00:00,15
03-04 15:30-00,2020-03-04 15:30:00,27.5,114.2,10.739999999999998,2.3600000000000003,218.6,15:30:00,15
03-04 16:00-00,2020-03-04 16:00:00,31.439999999999998,138.4,10.42,2.5200000000000005,218.8,16:00:00,16
03-04 16:30-00,2020-03-04 16:30:00,31.5,104.4,10.0,2.38,212.4,16:30:00,16
03-04 17:00-00,2020-03-04 17:00:00,32.279999999999994,71.0,9.98,2.7800000000000002,204.4,17:00:00,17
03-04 17:30-00,2020-03-04 17:30:00,33.78000000000001,36.4,9.9,2.2399999999999998,204.8,17:30:00,17
03-04 18:00-00,2020-03-04 18:00:00,26.580000000000002,21.0,9.459999999999999,2.9200000000000004,208.0,18:00:00,18
03-04 18:30-00,2020-03-04 18:30:00,27.220000000000006,7.8,8.86,2.62,217.0,18:30:00,18
03-04 19:00-00,2020-03-04 19:00:00,27.940000000000005,6.0,8.58,2.54,213.4,19:00:00,19
03-04 19:30-00,2020-03-04 19:30:00,27.28,6.0,8.34,2.1,208.6,19:30:00,19
03-04 20:00-00,2020-03-04 20:00:00,22.78,6.0,8.059999999999999,2.0,199.2,20:00:00,20
03-04 20:30-00,2020-03-04 20:30:00,23.56,6.0,7.92,1.7399999999999998,213.8,20:30:00,20
03-04 21:00-00,2020-03-04 21:00:00,21.4,6.0,7.74,1.54,198.2,21:00:00,21
03-04 21:30-00,2020-03-04 21:30:00,17.28,6.0,7.5600000000000005,1.6199999999999999,176.2,21:30:00,21
03-04 22:00-00,2020-03-04 22:00:00,16.979999999999997,6.0,7.220000000000001,1.94,182.4,22:00:00,22
03-04 22:30-00,2020-03-04 22:30:00,21.979999999999997,6.0,7.08,1.64,190.6,22:30:00,22
03-04 23:00-00,2020-03-04 23:00:00,20.979999999999997,6.2,6.959999999999999,1.7400000000000002,186.0,23:00:00,23
03-04 23:30-00,2020-03-04 23:30:00,18.240000000000002,6.0,6.74,1.9,190.2,23:30:00,23
03-05 00:00-00,2020-03-05 00:00:00,19.18,6.0,6.5200000000000005,1.6400000000000001,194.8,00:00:00,0
03-05 00:30-00,2020-03-05 00:30:00,20.080000000000002,6.0,6.459999999999999,1.6199999999999999,196.0,00:30:00,0
03-05 01:00-00,2020-03-05 01:00:00,19.12,6.0,6.459999999999999,1.42,191.8,01:00:00,1
03-05 01:30-00,2020-03-05 01:30:00,18.060000000000002,6.0,6.4,1.4,188.0,01:30:00,1
03-05 02:00-00,2020-03-05 02:00:00,17.36,6.0,6.359999999999999,1.3199999999999998,191.8,02:00:00,2
03-05 02:30-00,2020-03-05 02:30:00,15.219999999999999,6.0,6.3,1.22,174.0,02:30:00,2
03-05 03:00-00,2020-03-05 03:00:00,16.380000000000003,6.0,6.159999999999999,1.2399999999999998,181.2,03:00:00,3
03-05 03:30-00,2020-03-05 03:30:00,18.349999999999998,6.0,6.0200000000000005,1.2200000000000002,177.0,03:30:00,3
03-05 04:00-00,2020-03-05 04:00:00,14.919999999999998,6.0,5.96,1.0399999999999998,196.2,04:00:00,4
03-05 04:30-00,2020-03-05 04:30:00,13.575,6.0,5.86,1.14,205.4,04:30:00,4
03-05 05:00-00,2020-03-05 05:00:00,16.32,6.0,5.78,1.08,193.4,05:00:00,5
03-05 05:30-00,2020-03-05 05:30:00,14.64,6.0,5.66,1.06,185.6,05:30:00,5
03-05 06:00-00,2020-03-05 06:00:00,20.020000000000003,6.2,5.739999999999999,1.3,181.6,06:00:00,6
03-05 06:30-00,2020-03-05 06:30:00,20.62,6.0,5.7,1.06,181.0,06:30:00,6
03-05 07:00-00,2020-03-05 07:00:00,31.339999999999996,6.6,5.680000000000001,1.04,169.4,07:00:00,7
03-05 07:30-00,2020-03-05 07:30:00,34.480000000000004,13.0,5.779999999999999,1.06,172.2,07:30:00,7
03-05 08:00-00,2020-03-05 08:00:00,37.0,25.6,5.9,1.3199999999999998,207.8,08:00:00,8
03-05 08:30-00,2020-03-05 08:30:00,36.160000000000004,68.8,5.94,1.3399999999999999,193.6,08:30:00,8
03-05 09:00-00,2020-03-05 09:00:00,37.980000000000004,94.6,6.26,1.44,197.0,09:00:00,9
03-05 09:30-00,2020-03-05 09:30:00,29.9,160.4,6.9,1.7600000000000002,193.2,09:30:00,9
03-05 10:00-00,2020-03-05 10:00:00,24.3,188.8,7.260000000000001,1.9400000000000002,193.4,10:00:00,10
03-05 10:30-00,2020-03-05 10:30:00,20.8,224.6,7.7,1.8599999999999999,199.4,10:30:00,10
03-05 11:00-00,2020-03-05 11:00:00,19.999999999999996,230.6,7.94,1.8399999999999999,205.6,11:00:00,11
03-05 11:30-00,2020-03-05 11:30:00,18.66,284.4,8.04,1.8800000000000001,194.0,11:30:00,11
03-05 12:00-00,2020-03-05 12:00:00,16.259999999999998,363.0,8.440000000000001,1.9,194.0,12:00:00,12
03-05 12:30-00,2020-03-05 12:30:00,16.14,336.6,8.76,1.9200000000000004,198.8,12:30:00,12
03-05 13:00-00,2020-03-05 13:00:00,16.46,300.6,8.879999999999999,1.9600000000000002,197.4,13:00:00,13
03-05 13:30-00,2020-03-05 13:30:00,19.22,270.0,9.0,1.6800000000000002,205.2,13:30:00,13
03-05 14:00-00,2020-03-05 14:00:00,17.52,194.0,9.06,1.7400000000000002,204.0,14:00:00,14
03-05 14:30-00,2020-03-05 14:30:00,16.7,189.8,8.76,1.7,172.8,14:30:00,14
03-05 15:00-00,2020-03-05 15:00:00,16.88,221.0,9.1,1.58,184.8,15:00:00,15
03-05 15:30-00,2020-03-05 15:30:00,20.48,236.4,9.34,1.6,219.8,15:30:00,15
03-05 16:00-00,2020-03-05 16:00:00,20.099999999999998,178.4,9.52,1.48,209.0,16:00:00,16
03-05 16:30-00,2020-03-05 16:30:00,25.080000000000002,95.6,9.46,1.5,201.0,16:30:00,16
03-05 17:00-00,2020-03-05 17:00:00,22.339999999999996,59.0,9.319999999999999,1.56,198.4,17:00:00,17
03-05 17:30-00,2020-03-05 17:30:00,26.6,44.0,9.22,1.5,193.0,17:30:00,17
03-05 18:00-00,2020-03-05 18:00:00,26.1,24.8,8.66,1.6,194.6,18:00:00,18
03-05 18:30-00,2020-03-05 18:30:00,30.28,9.2,8.14,1.6199999999999999,179.8,18:30:00,18
03-05 19:00-00,2020-03-05 19:00:00,30.76,6.0,7.779999999999999,1.78,178.2,19:00:00,19
03-05 19:30-00,2020-03-05 19:30:00,31.639999999999997,6.0,7.4,1.7600000000000002,122.0,19:30:00,19
03-05 20:00-00,2020-03-05 20:00:00,30.1,6.0,7.1,1.6,120.4,20:00:00,20
03-05 20:30-00,2020-03-05 20:30:00,29.78,6.0,6.9,1.64,124.0,20:30:00,20
03-05 21:00-00,2020-03-05 21:00:00,29.060000000000002,6.0,6.779999999999999,1.48,114.0,21:00:00,21
03-05 21:30-00,2020-03-05 21:30:00,28.559999999999995,6.0,6.58,1.6199999999999999,117.2,21:30:00,21
03-05 22:00-00,2020-03-05 22:00:00,26.659999999999997,6.0,6.3,1.52,123.0,22:00:00,22
03-05 22:30-00,2020-03-05 22:30:00,25.720000000000006,6.2,6.040000000000001,1.6199999999999999,156.6,22:30:00,22
03-05 23:00-00,2020-03-05 23:00:00,25.7,6.0,5.779999999999999,1.1400000000000001,153.4,23:00:00,23
03-05 23:30-00,2020-03-05 23:30:00,25.939999999999998,6.0,5.5,0.8400000000000001,157.6,23:30:00,23
03-06 00:00-00,2020-03-06 00:00:00,25.28,6.4,5.46,0.82,152.4,00:00:00,0
03-06 00:30-00,2020-03-06 00:30:00,21.800000000000004,6.0,5.459999999999999,0.9600000000000002,150.8,00:30:00,0
03-06 01:00-00,2020-03-06 01:00:00,23.619999999999997,5.8,5.22,0.7,186.0,01:00:00,1
03-06 01:30-00,2020-03-06 01:30:00,25.375000000000004,6.0,5.14,0.74,216.4,01:30:00,1
03-06 02:00-00,2020-03-06 02:00:00,20.259999999999998,6.2,5.08,0.8600000000000001,146.8,02:00:00,2
03-06 02:30-00,2020-03-06 02:30:00,20.06,6.2,5.0600000000000005,1.06,135.8,02:30:00,2
